"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Mean mcg/m3","10th percentile mcg/m3","90th percentile mcg/m3"
"Annual Average 2022","UHF 42","101","4","Kingsbridge - Riverdale","6.0","5.9","6.3"
"Annual Average 2022","UHF 42","102","4","Northeast Bronx","6.0","5.9","6.2"
"Annual Average 2022","UHF 42","103","4","Fordham - Bronx Pk","6.1","6.0","6.3"
"Annual Average 2022","UHF 42","104","4","Pelham - Throgs Neck","6.1","5.7","6.5"
"Annual Average 2022","UHF 42","105","4","Crotona -Tremont","6.2","6.0","6.5"
"Annual Average 2022","UHF 42","106","4","High Bridge - Morrisania","6.1","5.8","6.3"
"Annual Average 2022","UHF 42","107","4","Hunts Point - Mott Haven","6.2","5.5","6.7"
"Annual Average 2022","UHF 42","201","4","Greenpoint","6.5","6.2","6.8"
"Annual Average 2022","UHF 42","202","4","Downtown - Heights - Slope","6.4","6.0","6.8"
"Annual Average 2022","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","5.9","5.6","6.3"
"Annual Average 2022","UHF 42","204","4","East New York","5.7","5.5","6.0"
"Annual Average 2022","UHF 42","205","4","Sunset Park","6.2","5.5","6.8"
"Annual Average 2022","UHF 42","206","4","Borough Park","5.7","5.5","5.8"
"Annual Average 2022","UHF 42","207","4","East Flatbush - Flatbush","5.6","5.4","5.9"
"Annual Average 2022","UHF 42","208","4","Canarsie - Flatlands","5.4","5.1","5.8"
"Annual Average 2022","UHF 42","209","4","Bensonhurst - Bay Ridge","5.6","5.3","6.0"
"Annual Average 2022","UHF 42","210","4","Coney Island - Sheepshead Bay","5.4","5.2","5.6"
"Annual Average 2022","UHF 42","211","4","Williamsburg - Bushwick","6.4","5.9","6.9"
"Annual Average 2022","UHF 42","301","4","Washington Heights","6.3","6.1","6.5"
"Annual Average 2022","UHF 42","302","4","Central Harlem - Morningside Heights","6.2","6.1","6.4"
"Annual Average 2022","UHF 42","303","4","East Harlem","6.1","6.0","6.3"
"Annual Average 2022","UHF 42","304","4","Upper West Side","6.1","5.9","6.3"
"Annual Average 2022","UHF 42","305","4","Upper East Side","6.4","6.1","6.8"
"Annual Average 2022","UHF 42","306","4","Chelsea - Clinton","8.4","6.9","9.6"
"Annual Average 2022","UHF 42","307","4","Gramercy Park - Murray Hill","7.9","6.8","9.2"
"Annual Average 2022","UHF 42","308","4","Greenwich Village - SoHo","8.0","7.3","8.8"
"Annual Average 2022","UHF 42","309","4","Union Square - Lower East Side","7.5","6.1","9.2"
"Annual Average 2022","UHF 42","310","4","Lower Manhattan","7.1","6.6","7.6"
"Annual Average 2022","UHF 42","401","4","Long Island City - Astoria","6.4","6.0","6.7"
"Annual Average 2022","UHF 42","402","4","West Queens","6.2","5.8","6.7"
"Annual Average 2022","UHF 42","403","4","Flushing - Clearview","5.9","5.5","6.4"
"Annual Average 2022","UHF 42","404","4","Bayside - Little Neck","5.6","5.4","5.8"
"Annual Average 2022","UHF 42","405","4","Ridgewood - Forest Hills","5.8","5.4","6.1"
"Annual Average 2022","UHF 42","406","4","Fresh Meadows","5.5","5.4","5.6"
"Annual Average 2022","UHF 42","407","4","Southwest Queens","5.5","5.3","5.8"
"Annual Average 2022","UHF 42","408","4","Jamaica","5.6","5.3","6.1"
"Annual Average 2022","UHF 42","409","4","Southeast Queens","5.4","5.2","5.5"
"Annual Average 2022","UHF 42","410","4","Rockaways","5.0","4.9","5.2"
"Annual Average 2022","UHF 42","501","4","Port Richmond","5.5","5.3","5.7"
"Annual Average 2022","UHF 42","502","4","Stapleton - St. George","5.3","5.1","5.5"
"Annual Average 2022","UHF 42","503","4","Willowbrook","5.2","5.1","5.4"
"Annual Average 2022","UHF 42","504","4","South Beach - Tottenville","5.0","4.9","5.2"
"Annual Average 2021","UHF 42","101","4","Kingsbridge - Riverdale","6.6","6.4","6.9"
"Annual Average 2021","UHF 42","102","4","Northeast Bronx","6.5","6.4","6.7"
"Annual Average 2021","UHF 42","103","4","Fordham - Bronx Pk","6.6","6.4","6.8"
"Annual Average 2021","UHF 42","104","4","Pelham - Throgs Neck","6.6","6.3","7.0"
"Annual Average 2021","UHF 42","105","4","Crotona -Tremont","6.8","6.5","7.1"
"Annual Average 2021","UHF 42","106","4","High Bridge - Morrisania","6.6","6.4","6.9"
"Annual Average 2021","UHF 42","107","4","Hunts Point - Mott Haven","7.0","6.2","7.9"
"Annual Average 2021","UHF 42","201","4","Greenpoint","7.7","7.0","8.5"
"Annual Average 2021","UHF 42","202","4","Downtown - Heights - Slope","7.1","6.7","7.5"
"Annual Average 2021","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","6.6","6.4","6.9"
"Annual Average 2021","UHF 42","204","4","East New York","6.5","6.2","7.0"
"Annual Average 2021","UHF 42","205","4","Sunset Park","7.0","6.4","7.9"
"Annual Average 2021","UHF 42","206","4","Borough Park","6.4","6.3","6.6"
"Annual Average 2021","UHF 42","207","4","East Flatbush - Flatbush","6.4","6.3","6.6"
"Annual Average 2021","UHF 42","208","4","Canarsie - Flatlands","6.3","6.0","6.6"
"Annual Average 2021","UHF 42","209","4","Bensonhurst - Bay Ridge","6.4","6.2","6.7"
"Annual Average 2021","UHF 42","210","4","Coney Island - Sheepshead Bay","6.3","6.1","6.4"
"Annual Average 2021","UHF 42","211","4","Williamsburg - Bushwick","7.2","6.5","8.3"
"Annual Average 2021","UHF 42","301","4","Washington Heights","6.9","6.6","7.4"
"Annual Average 2021","UHF 42","302","4","Central Harlem - Morningside Heights","6.8","6.7","6.9"
"Annual Average 2021","UHF 42","303","4","East Harlem","6.8","6.7","6.9"
"Annual Average 2021","UHF 42","304","4","Upper West Side","6.8","6.6","7.0"
"Annual Average 2021","UHF 42","305","4","Upper East Side","7.0","6.7","7.4"
"Annual Average 2021","UHF 42","306","4","Chelsea - Clinton","8.4","7.5","9.3"
"Annual Average 2021","UHF 42","307","4","Gramercy Park - Murray Hill","8.2","7.4","9.1"
"Annual Average 2021","UHF 42","308","4","Greenwich Village - SoHo","8.2","7.8","8.7"
"Annual Average 2021","UHF 42","309","4","Union Square - Lower East Side","7.8","6.8","9.0"
"Annual Average 2021","UHF 42","310","4","Lower Manhattan","7.6","7.3","7.9"
"Annual Average 2021","UHF 42","401","4","Long Island City - Astoria","7.2","6.6","8.0"
"Annual Average 2021","UHF 42","402","4","West Queens","7.1","6.4","8.5"
"Annual Average 2021","UHF 42","403","4","Flushing - Clearview","6.5","6.2","6.9"
"Annual Average 2021","UHF 42","404","4","Bayside - Little Neck","6.3","6.1","6.5"
"Annual Average 2021","UHF 42","405","4","Ridgewood - Forest Hills","6.5","6.2","6.9"
"Annual Average 2021","UHF 42","406","4","Fresh Meadows","6.3","6.2","6.4"
"Annual Average 2021","UHF 42","407","4","Southwest Queens","6.3","6.1","6.5"
"Annual Average 2021","UHF 42","408","4","Jamaica","6.4","6.1","6.8"
"Annual Average 2021","UHF 42","409","4","Southeast Queens","6.2","6.0","6.3"
"Annual Average 2021","UHF 42","410","4","Rockaways","5.9","5.9","6.0"
"Annual Average 2021","UHF 42","501","4","Port Richmond","6.4","6.2","6.5"
"Annual Average 2021","UHF 42","502","4","Stapleton - St. George","6.2","6.1","6.4"
"Annual Average 2021","UHF 42","503","4","Willowbrook","6.2","6.1","6.4"
"Annual Average 2021","UHF 42","504","4","South Beach - Tottenville","6.0","5.9","6.1"
"Annual Average 2020","UHF 42","101","4","Kingsbridge - Riverdale","5.9","5.7","6.3"
"Annual Average 2020","UHF 42","102","4","Northeast Bronx","6.0","5.8","6.2"
"Annual Average 2020","UHF 42","103","4","Fordham - Bronx Pk","6.0","5.8","6.3"
"Annual Average 2020","UHF 42","104","4","Pelham - Throgs Neck","6.1","5.8","6.4"
"Annual Average 2020","UHF 42","105","4","Crotona -Tremont","6.3","6.0","6.6"
"Annual Average 2020","UHF 42","106","4","High Bridge - Morrisania","6.1","5.9","6.4"
"Annual Average 2020","UHF 42","107","4","Hunts Point - Mott Haven","6.4","5.7","6.9"
"Annual Average 2020","UHF 42","201","4","Greenpoint","7.0","6.6","7.4"
"Annual Average 2020","UHF 42","202","4","Downtown - Heights - Slope","6.7","6.2","7.1"
"Annual Average 2020","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","6.2","6.0","6.5"
"Annual Average 2020","UHF 42","204","4","East New York","6.0","5.8","6.2"
"Annual Average 2020","UHF 42","205","4","Sunset Park","6.5","5.9","7.0"
"Annual Average 2020","UHF 42","206","4","Borough Park","5.9","5.8","6.1"
"Annual Average 2020","UHF 42","207","4","East Flatbush - Flatbush","6.0","5.8","6.2"
"Annual Average 2020","UHF 42","208","4","Canarsie - Flatlands","5.7","5.4","6.1"
"Annual Average 2020","UHF 42","209","4","Bensonhurst - Bay Ridge","5.9","5.6","6.3"
"Annual Average 2020","UHF 42","210","4","Coney Island - Sheepshead Bay","5.7","5.5","5.9"
"Annual Average 2020","UHF 42","211","4","Williamsburg - Bushwick","6.7","6.1","7.5"
"Annual Average 2020","UHF 42","301","4","Washington Heights","6.3","6.0","6.8"
"Annual Average 2020","UHF 42","302","4","Central Harlem - Morningside Heights","6.3","6.2","6.5"
"Annual Average 2020","UHF 42","303","4","East Harlem","6.4","6.2","6.4"
"Annual Average 2020","UHF 42","304","4","Upper West Side","6.3","6.2","6.6"
"Annual Average 2020","UHF 42","305","4","Upper East Side","6.7","6.4","7.1"
"Annual Average 2020","UHF 42","306","4","Chelsea - Clinton","8.5","7.2","9.7"
"Annual Average 2020","UHF 42","307","4","Gramercy Park - Murray Hill","8.2","7.2","9.4"
"Annual Average 2020","UHF 42","308","4","Greenwich Village - SoHo","8.2","7.6","9.0"
"Annual Average 2020","UHF 42","309","4","Union Square - Lower East Side","7.8","6.5","9.3"
"Annual Average 2020","UHF 42","310","4","Lower Manhattan","7.4","7.0","7.9"
"Annual Average 2020","UHF 42","401","4","Long Island City - Astoria","6.8","6.3","7.4"
"Annual Average 2020","UHF 42","402","4","West Queens","6.6","6.1","7.2"
"Annual Average 2020","UHF 42","403","4","Flushing - Clearview","6.2","5.9","6.8"
"Annual Average 2020","UHF 42","404","4","Bayside - Little Neck","6.0","5.8","6.2"
"Annual Average 2020","UHF 42","405","4","Ridgewood - Forest Hills","6.1","5.8","6.4"
"Annual Average 2020","UHF 42","406","4","Fresh Meadows","6.0","5.8","6.1"
"Annual Average 2020","UHF 42","407","4","Southwest Queens","5.9","5.6","6.2"
"Annual Average 2020","UHF 42","408","4","Jamaica","6.0","5.8","6.3"
"Annual Average 2020","UHF 42","409","4","Southeast Queens","5.8","5.6","5.9"
"Annual Average 2020","UHF 42","410","4","Rockaways","5.3","5.2","5.5"
"Annual Average 2020","UHF 42","501","4","Port Richmond","5.9","5.8","6.0"
"Annual Average 2020","UHF 42","502","4","Stapleton - St. George","5.7","5.5","5.9"
"Annual Average 2020","UHF 42","503","4","Willowbrook","5.6","5.4","5.9"
"Annual Average 2020","UHF 42","504","4","South Beach - Tottenville","5.3","5.0","5.6"
"Annual Average 2019","UHF 42","101","4","Kingsbridge - Riverdale","6.7","6.4","7.4"
"Annual Average 2019","UHF 42","102","4","Northeast Bronx","6.7","6.4","7.1"
"Annual Average 2019","UHF 42","103","4","Fordham - Bronx Pk","6.7","6.5","7.0"
"Annual Average 2019","UHF 42","104","4","Pelham - Throgs Neck","6.7","6.2","7.2"
"Annual Average 2019","UHF 42","105","4","Crotona -Tremont","7.2","6.8","7.8"
"Annual Average 2019","UHF 42","106","4","High Bridge - Morrisania","7.1","6.8","7.7"
"Annual Average 2019","UHF 42","107","4","Hunts Point - Mott Haven","7.5","6.0","8.9"
"Annual Average 2019","UHF 42","201","4","Greenpoint","8.6","7.4","9.9"
"Annual Average 2019","UHF 42","202","4","Downtown - Heights - Slope","7.4","6.8","8.2"
"Annual Average 2019","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","6.6","6.2","7.1"
"Annual Average 2019","UHF 42","204","4","East New York","6.6","6.2","7.0"
"Annual Average 2019","UHF 42","205","4","Sunset Park","7.3","6.3","8.4"
"Annual Average 2019","UHF 42","206","4","Borough Park","6.3","6.1","6.5"
"Annual Average 2019","UHF 42","207","4","East Flatbush - Flatbush","6.3","6.1","6.5"
"Annual Average 2019","UHF 42","208","4","Canarsie - Flatlands","6.2","5.7","6.9"
"Annual Average 2019","UHF 42","209","4","Bensonhurst - Bay Ridge","6.2","5.9","6.6"
"Annual Average 2019","UHF 42","210","4","Coney Island - Sheepshead Bay","6.0","5.7","6.3"
"Annual Average 2019","UHF 42","211","4","Williamsburg - Bushwick","7.5","6.3","9.6"
"Annual Average 2019","UHF 42","301","4","Washington Heights","7.1","6.7","8.1"
"Annual Average 2019","UHF 42","302","4","Central Harlem - Morningside Heights","7.0","6.8","7.2"
"Annual Average 2019","UHF 42","303","4","East Harlem","7.1","6.9","7.4"
"Annual Average 2019","UHF 42","304","4","Upper West Side","7.4","7.0","7.7"
"Annual Average 2019","UHF 42","305","4","Upper East Side","8.0","7.4","8.6"
"Annual Average 2019","UHF 42","306","4","Chelsea - Clinton","10.2","8.2","12.4"
"Annual Average 2019","UHF 42","307","4","Gramercy Park - Murray Hill","10.1","8.6","11.8"
"Annual Average 2019","UHF 42","308","4","Greenwich Village - SoHo","9.6","8.8","10.8"
"Annual Average 2019","UHF 42","309","4","Union Square - Lower East Side","8.9","7.3","10.6"
"Annual Average 2019","UHF 42","310","4","Lower Manhattan","8.2","7.6","9.0"
"Annual Average 2019","UHF 42","401","4","Long Island City - Astoria","8.0","7.0","9.6"
"Annual Average 2019","UHF 42","402","4","West Queens","7.3","6.4","9.3"
"Annual Average 2019","UHF 42","403","4","Flushing - Clearview","6.6","6.0","7.6"
"Annual Average 2019","UHF 42","404","4","Bayside - Little Neck","6.2","5.9","6.6"
"Annual Average 2019","UHF 42","405","4","Ridgewood - Forest Hills","6.6","6.1","7.0"
"Annual Average 2019","UHF 42","406","4","Fresh Meadows","6.2","6.0","6.4"
"Annual Average 2019","UHF 42","407","4","Southwest Queens","6.2","5.8","6.5"
"Annual Average 2019","UHF 42","408","4","Jamaica","6.2","5.9","6.7"
"Annual Average 2019","UHF 42","409","4","Southeast Queens","6.0","5.8","6.3"
"Annual Average 2019","UHF 42","410","4","Rockaways","5.6","5.5","5.7"
"Annual Average 2019","UHF 42","501","4","Port Richmond","6.3","6.0","6.8"
"Annual Average 2019","UHF 42","502","4","Stapleton - St. George","5.9","5.7","6.1"
"Annual Average 2019","UHF 42","503","4","Willowbrook","6.0","5.7","6.4"
"Annual Average 2019","UHF 42","504","4","South Beach - Tottenville","5.8","5.5","6.1"