"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Bicycle (number)","Car, truck, or van (number)","Public transportation (number)","Walked (number)","Bicycle (percent)","Car, truck, or van (percent)","Public transportation (percent)","Walked (percent)"
"2017-21","UHF 42","101","4","Kingsbridge - Riverdale","117","13,210","19,332","2,955","0.3","32.4","47.4","7.2"
"2017-21","UHF 42","102","4","Northeast Bronx","212","39,660","40,556","4,464","0.2","43.5","44.5","4.9"
"2017-21","UHF 42","103","4","Fordham - Bronx Pk","637","21,636","68,029","9,080","0.6","20.1","63.1","8.4"
"2017-21","UHF 42","104","4","Pelham - Throgs Neck","577","48,048","61,334","7,450","0.5","37.8","48.3","5.9"
"2017-21","UHF 42","105","4","Crotona -Tremont","324","17,885","52,121","4,953","0.4","21.8","63.5","6.0"
"2017-21","UHF 42","106","4","High Bridge - Morrisania","393","14,309","53,415","8,008","0.5","17.6","65.7","9.8"
"2017-21","UHF 42","107","4","Hunts Point - Mott Haven","329","10,234","32,027","5,346","0.6","19.6","61.3","10.2"
"2017-21","UHF 42","201","4","Greenpoint","2,618","7,150","32,126","6,705","4.3","11.8","53.0","11.1"
"2017-21","UHF 42","202","4","Downtown - Heights - Slope","5,039","13,480","78,141","16,636","3.4","9.1","52.8","11.2"
"2017-21","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","4,300","24,712","101,290","9,851","2.6","15.0","61.6","6.0"
"2017-21","UHF 42","204","4","East New York","514","20,775","49,591","2,953","0.6","25.8","61.5","3.7"
"2017-21","UHF 42","205","4","Sunset Park","1,282","11,345","28,425","7,424","2.4","20.9","52.4","13.7"
"2017-21","UHF 42","206","4","Borough Park","2,121","36,945","58,952","19,937","1.6","27.6","44.0","14.9"
"2017-21","UHF 42","207","4","East Flatbush - Flatbush","1,748","31,817","89,710","7,259","1.2","21.7","61.1","4.9"
"2017-21","UHF 42","208","4","Canarsie - Flatlands","304","40,027","44,767","2,998","0.3","42.4","47.4","3.2"
"2017-21","UHF 42","209","4","Bensonhurst - Bay Ridge","1,089","27,925","47,723","7,414","1.1","29.1","49.7","7.7"
"2017-21","UHF 42","210","4","Coney Island - Sheepshead Bay","980","40,604","56,200","11,199","0.8","33.2","46.0","9.2"
"2017-21","UHF 42","211","4","Williamsburg - Bushwick","3,282","17,204","66,689","9,125","3.0","15.5","60.1","8.2"
"2017-21","UHF 42","301","4","Washington Heights","1,080","14,398","86,541","13,542","0.8","10.7","64.3","10.1"
"2017-21","UHF 42","302","4","Central Harlem - Morningside Heights","1,352","7,779","51,887","9,330","1.6","9.3","62.0","11.1"
"2017-21","UHF 42","303","4","East Harlem","875","3,606","30,048","4,618","2.0","8.1","67.5","10.4"
"2017-21","UHF 42","304","4","Upper West Side","3,895","8,536","62,148","16,009","3.2","7.0","50.7","13.1"
"2017-21","UHF 42","305","4","Upper East Side","1,472","10,222","60,002","23,569","1.2","8.3","48.8","19.2"
"2017-21","UHF 42","306","4","Chelsea - Clinton","3,028","5,345","43,685","26,959","3.0","5.3","43.0","26.5"
"2017-21","UHF 42","307","4","Gramercy Park - Murray Hill","1,728","5,890","27,994","30,524","2.0","6.8","32.1","35.0"
"2017-21","UHF 42","308","4","Greenwich Village - SoHo","1,897","2,941","22,120","10,257","3.8","5.9","44.4","20.6"
"2017-21","UHF 42","309","4","Union Square - Lower East Side","4,950","6,339","44,995","22,104","5.1","6.6","46.6","22.9"
"2017-21","UHF 42","310","4","Lower Manhattan","429","1,901","18,600","9,922","1.1","4.9","47.6","25.4"
"2017-21","UHF 42","401","4","Long Island City - Astoria","1,901","17,957","72,309","6,391","1.6","15.3","61.8","5.5"
"2017-21","UHF 42","402","4","West Queens","2,095","56,029","131,456","17,834","0.9","25.0","58.8","8.0"
"2017-21","UHF 42","403","4","Flushing - Clearview","493","55,294","38,394","11,755","0.4","48.2","33.5","10.3"
"2017-21","UHF 42","404","4","Bayside - Little Neck","70","26,762","12,308","1,647","0.2","58.9","27.1","3.6"
"2017-21","UHF 42","405","4","Ridgewood - Forest Hills","1,121","42,691","68,087","7,748","0.8","31.4","50.0","5.7"
"2017-21","UHF 42","406","4","Fresh Meadows","77","21,987","15,705","2,541","0.2","48.7","34.8","5.6"
"2017-21","UHF 42","407","4","Southwest Queens","395","61,307","58,887","5,926","0.3","44.8","43.0","4.3"
"2017-21","UHF 42","408","4","Jamaica","315","65,816","65,492","6,064","0.2","44.2","44.0","4.1"
"2017-21","UHF 42","409","4","Southeast Queens","295","102,601","41,082","3,080","0.2","64.2","25.7","1.9"
"2017-21","UHF 42","410","4","Rockaways","416","27,230","17,234","2,955","0.8","52.0","32.9","5.6"
"2017-21","UHF 42","501","4","Port Richmond","26","18,396","9,028","1,332","0.1","59.3","29.1","4.3"
"2017-21","UHF 42","502","4","Stapleton - St. George","280","28,865","19,575","2,612","0.5","52.0","35.2","4.7"
"2017-21","UHF 42","503","4","Willowbrook","27","28,163","9,041","786","0.1","68.0","21.8","1.9"
"2017-21","UHF 42","504","4","South Beach - Tottenville","75","62,918","19,865","1,293","0.1","68.7","21.7","1.4"